Vendor,Expense Type,Expense Descrption,Date,Item Name,Item Description,Quantity,Cost,Total Cost,Recurring,Interval,
Vani Kapor,Salarys,DATABASE,11/26/2019,Data Entry,Data Entry,2,11,22,FALSE,,
Habberstad BMW,Other Expenses,Vehicle Lease,4/16/2019,BMW,320ix,1,329,329,TRUE,Monthly,
Globecomm,Travel Expenses,Travel,43085,Travel,Travel Distance = 9.76,1,5.320622881,5.320622881,FALSE,,
Globecomm,Travel Expenses,Travel,12/22/2017,Travel,Travel Distance = 9.76,1,5.320622881,5.320622881,FALSE,,
Globecomm,Travel Expenses,Travel,1/26/2018,Travel,Travel Distance = 9.76,1,5.320622881,5.320622881,FALSE,,
Globecomm,Travel Expenses,Travel,2/2/2018,Travel,Travel Distance = 9.76,1,5.320622881,5.320622881,FALSE,,invalid literal for int() with base 10: ''
Globecomm,Travel Expenses,Travel,2/16/2018,Travel,Travel Distance = 9.76,1,5.320622881,5.320622881,FALSE,,
Globecomm,Travel Expenses,Travel,3/2/2018,Travel,Travel Distance = 9.76,1,5.320622881,5.320622881,FALSE,,
Globecomm,Travel Expenses,Travel,11/16/2018,Travel,Travel Distance = 9.76,1,5.320622881,5.320622881,FALSE,,
Globecomm,Salarys,Site Debug,11/16/2018,OH,Software Development,3,50,150,FALSE,,
Globecomm,Other Expenses,Travel,3/27/2018,Travel,Travel Distance = 9.76,1,5.320622881,5.320622881,FALSE,,
Habberstad BMW,Other Expenses,Vehicle Lease,5/1/2019,BMW,320ix,1,329,329,TRUE,Monthly,
Globecomm,Other Expenses,Travel,5/10/2019,Travel,Travel Distance = 13.78,1,7.511046576,7.511046576,FALSE,,
Habberstad BMW,Other Expenses,Vehicle Lease,6/1/2019,BMW,320ix,1,329,329,TRUE,Monthly,
Globecomm,Other Expenses,Travel,5/10/2019,Travel,Travel Distance = 13.78,1,7.511046576,7.511046576,FALSE,,
Habberstad BMW,Other Expenses,Vehicle Lease,7/1/2019,BMW,320ix,1,329,329,TRUE,Monthly,
Habberstad BMW,Other Expenses,Vehicle Lease,8/1/2019,BMW,320ix,1,329,329,FALSE,,
Habberstad BMW,Other Expenses,Vehicle Lease,9/1/2019,BMW,320ix,1,329,329,TRUE,Monthly,
Habberstad BMW,Other Expenses,Vehicle Lease,10/1/2019,BMW,320ix,1,329,329,TRUE,Monthly,
Habberstad BMW,Other Expenses,Vehicle Lease,11/1/2019,BMW,320ix,1,329,329,TRUE,Monthly,
Habberstad BMW,Other Expenses,Vehicle Lease,12/1/2019,BMW,320ix,1,329,329,TRUE,Monthly,
Michael Ford,Other Expenses,Services,10/30/2019,Office Construction,,1,1000,1000,FALSE,,
TigerDirect Business,Other Expenses,Computers,11/1/2019,CPU,3.2G/16G/512G/W10P64,1,329.99,329.99,FALSE,,
TigerDirect Business,Other Expenses,Software,11/1/2019,BUS,OFFICE HOME AND BUSINESS 2019,1,249.99,249.99,FALSE,,
TigerDirect Business,Other Expenses,Taxes,11/1/2019,Product Taxes,Computer and Software Purchase,1,51.08,51.08,FALSE,,
TigerDirect Business,Other Expenses,Shipping,11/1/2019,Product Shipping,Computer and Software Purchase,1,12.33,12.33,FALSE,,
TigerDirect Business,Other Expenses,Computers,2/9/2015,HP EliteBook,"Intel Core i5 2.5GHz, Windows 7 Professional 64-bit (Off-Lease)",1,300.99,300.99,FALSE,,
TigerDirect Business,Other Expenses,Software,2/9/2015,Microsoft Office 365,"English, 1 Year",1,59.05,59.05,FALSE,,
TigerDirect Business,Other Expenses,Software,2/9/2015,McAfree 2015,Multi Accress 1 User 5 Devices,1,30.94,30.94,FALSE,,
TigerDirect Business,Other Expenses,Shipping,2/9/2015,Product Shipping,Computer and Software Purchase,1,8.96,8.96,FALSE,,
Amazon Prime,Other Expenses,Office Supplies,11/2/2019,HDTV 3x HDMI,Sceptre 32 inch LED,1,99.99,99.99,FALSE,,
Amazon Prime,Other Expenses,Taxes,11/2/2019,Product Taxes,Electronic Purchase,1,8.62,8.62,FALSE,,
Amazon Prime,Other Expenses,Utilities,10/22/2019,HUANUO Dual Monitor Stand,Mounting Base 13 to 27 Inch Computer Screens,1,54.99,54.99,FALSE,,
Amazon Prime,Other Expenses,Electronics,10/22/2019,Sabrent 4 Port USB,Individual LED Power Switches,3,7.99,23.97,FALSE,,
Amazon Prime,Other Expenses,Electronics,10/22/2019,LED Monitors,DisplayPort DVI and VGA,1,249.99,249.99,FALSE,,
Amazon Prime,Other Expenses,Taxes,10/22/2019,Product Taxes,Utility and Electronics Purchase,1,28.37,28.37,FALSE,,
Home Depot,Other Expenses,Electronics,10/23/2019,Robot Prototype base,1X12X4' Common Board,1,20.81,19.16,FALSE,,
Home Depot,Other Expenses,Taxes,10/23/2019,Robot protype base,Taxes,1,1.65,1.65,FALSE,,
Amazon Prime,Other Expenses,Taxes,10/23/2019,Product Taxes,Utility and Electronics Purchase,1,28.37,28.37,FALSE,,
Home Depot,Other Expenses,Electronics,1/7/2020,Aluminum Round Tube,36x1/2x1/16,1,11.84,11.84,FALSE,,
Home Depot,Other Expenses,Electronics,1/7/2020,Sheet Metal,Lincane al Sheet Black,1,18.98,18.98,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,1/7/2020,Spring Clamp,Metal Spring Clamp Pivot Tip,2,9.94,19.88,FALSE,,
Home Depot,Other Expenses,Taxes,1/7/2020,Product Taxes,Robot Prototype Materials,1,3.52,3.52,FALSE,,
Staples,Other Expenses,Office Supplies,11/11/2019,Label,Large White Label,2,5.49,10.98,FALSE,,
Staples,Other Expenses,Office Supplies,11/11/2019,Office Sign,7x17,1,20.97,20.97,FALSE,,
Staples,Other Expenses,Taxes,11/11/2019,Item Taxes,Office Supplies,1,1.81,1.81,FALSE,,
Home Depot,Other Expenses,Test Fixtures,1/2/2020,Round Rod,Steel ,1,5.64,5.64,FALSE,,
Home Depot,Other Expenses,Robot,11/16/2019,robot Hardware,Misc items,1,52.17,52.17,FALSE,,
ROBOTDIGG LIMITED,Other Expenses,Test Fixtures,1/14/2020,Linear Stepper Motor,NEMA11 lead screw stepper Motor Linear module,1,76,76,TRUE,Monthly,
AWS Web Service,Other Expenses,Database,1/3/2019,Database Services,SIMBA Database,1,93.53,93.53,TRUE,Monthly,
AWS Web Service,Other Expenses,Database,2/3/2019,Database Services,SIMBA Database,1,93.56,93.56,TRUE,Monthly,
AWS Web Service,Other Expenses,Database,3/3/2019,Database Services,SIMBA Database,1,84.51,84.51,TRUE,Monthly,
AWS Web Service,Other Expenses,Database,4/3/2019,Database Services,SIMBA Database,1,112.58,112.58,TRUE,Monthly,
AWS Web Service,Other Expenses,Database,5/3/2019,Database Services,SIMBA Database,1,109.11,109.11,TRUE,Monthly,
AWS Web Service,Other Expenses,Database,6/3/2019,Database Services,SIMBA Database,1,112.65,112.65,TRUE,Monthly,
AWS Web Service,Other Expenses,Database,7/3/2019,Database Services,SIMBA Database,1,108.96,108.96,TRUE,Monthly,
AWS Web Service,Other Expenses,Database,8/3/2019,Database Services,SIMBA Database,1,112.56,112.56,TRUE,Monthly,
AWS Web Service,Other Expenses,Database,9/9/2019,Database Services,SIMBA Database,1,112.56,112.61,TRUE,Monthly,
AWS Web Service,Other Expenses,Database,10/3/2019,Database Services,SIMBA Database,1,109.13,109.13,TRUE,Monthly,
AWS Web Service,Other Expenses,Database,11/3/2019,Database Services,SIMBA Database,1,112.65,112.65,TRUE,Monthly,
AWS Web Service,Other Expenses,Database,12/3/2019,Database Services,SIMBA Database,1,109.65,109.65,TRUE,Monthly,
Amazon Prime,Other Expenses,Shipping,1/14/2020,Aluminum Plate,"3/8 "" Bar Sheet Plate  4"" x 12""",1,14.6,14.6,FALSE,,
Amazon Prime,Other Expenses,Test Fixtures,1/14/2020,Aluminum Plate,"3/8 "" Bar Sheet Plate  4"" x 12""",1,10.2,10.2,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/14/2020,Aluminum Plate,"3/8 "" Bar Sheet Plate  4"" x 12""",1,2.14,2.14,FALSE,,
Amazon Prime,Other Expenses,Test Fixtures,1/14/2020,Aluminum Plate,"3/8 "" Bar Sheet Plate  6"" x 12""",1,19.69,19.69,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/14/2020,Bandsaw Blade,"62"" X3/8 x 0.14 x 10tpi",1,2.36,2.36,FALSE,,
Amazon Prime,Other Expenses,Machine Shop Supplies,1/14/2020,Bandsaw Blade,"62"" X3/8 x 0.14 x 10tpi",1,2.36,2.36,FALSE,,
Amazon Prime,Other Expenses,Test Fixtures,1/14/2020,Aluminum Bar,"2"" x 2"" Square Aluminum 6""",1,18.39,18.39,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/14/2020,Aluminum Bar,"2"" x 2"" Square Aluminum 6""",1,1.59,1.59,FALSE,,
Amazon Prime,Other Expenses,Lab Supplies,1/13/2020,Soldering Iron Tips,GeToo ST Series Tip,1,12.95,12.95,FALSE,,
Amazon Prime,Other Expenses,Lab Supplies,1/13/2020,Soldering Wick,GeSW02 No-Clean,1,6.48,6.48,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/13/2020,Lab supplies,Lab supplies,1,1.68,1.68,FALSE,,
Amazon Prime,Other Expenses,Test Fixtures,1/13/2020,Teflon Rod Stock,PTFE-0.500x24-RD.DSC,1,13.5,13.5,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/13/2020,Teflon Rod Stock,PTFE-0.500x24-RD.DSC,1,1.16,1.16,FALSE,,
Amazon Prime,Other Expenses,Test Fixtures,1/13/2020,Project Box,Jameco SY0206-R Case,1,15.01,15.01,FALSE,,
Amazon Prime,Other Expenses,Test Fixtures,1/13/2020,Aluminum Round Bar Stock,18Pcs Solid Round Rod 2.5-8mm Length 100m,1,9.88,9.88,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/13/2020,Aluminum Round Bar Stock,18Pcs Solid Round Rod 2.5-8mm Length 100m,1,2.14,2.14,FALSE,,
Amazon Prime,Other Expenses,Test Fixtures,1/2/2020,Switches,Mini Push Botton Switch 12 Pcs,1,7.99,7.99,FALSE,,
Amazon Prime,Other Expenses,Test Fixtures,1/2/2020,DC DC Converter,DROK Step Down voltage module,1,7.99,7.99,FALSE,,
Amazon Prime,Other Expenses,Test Fixtures,1/2/2020,Wire,Breadboard jumper wires ,1,5.79,5.79,FALSE,,
Amazon Prime,Other Expenses,Test Fixtures,1/2/2020,Relay Module,5v Relay Module,3,5.5,16.5,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/2/2020,Relay Module,5v Relay Module,1,3.25,3.25,FALSE,,
