,invoice id,contractor_id,Customer_id,staff id,charge code,Resource name,resource type,Service type,invoice date,quantity,rate,total,
2,7,3,2,1,GSC.ATE.2017,Software Developmen,Site Design,Engineering,12/22/2017,3,65,195,
3,8,3,2,1,GSC.ATE.2018,Software Development,Site Design,Engineering,1/26/2018,4.5,65,292.5,
4,9,3,2,1,GSC.ATE.2018,Software Development,Site Design,Engineering,2/2/2018,4,65,260,
5,10,3,2,1,GSC.ATE.2018,ATE Reference Guide,Documentation,Engineering,2/8/2018,5,65,325,
6,10,3,2,1,GSC.ATE.2018,Software Help Guide,Documentation,Engineering,2/8/2018,21,65,1365,
9,11,3,2,1,GSC.ATE.2018,ATE Development,Site Design,Engineering,3/2/2018,3,65,195,
12,12,3,2,1,GSC.ATE.2018,Software Development,Office Design,Engineering,4/4/2019,4,65,260,
13,12,3,2,1,GSC.ATE.2018,Software Development,Office Design,Engineering,4/9/2019,4,65,260,
14,12,3,2,1,GSC.ATE.2018,Software Development,Office Design,Engineering,4/6/2019,5,65,325,
15,12,3,2,1,GSC.ATE.2018,Software Development,Office Design,Engineering,4/13/2019,7,65,455,
18,12,3,2,1,GSC.ATE.2018,Software Debug,Site Debug,Engineering,4/26/2019,3,65,195,
19,12,3,2,1,GSC.ATE.2018,Software Development,Office Design,Engineering,4/27/2019,4,65,260,
23,13,3,2,1,GSC.ATE.2018,Field Laptop Development,Field Design,Engineering,3/11/2018,4,65,260,
24,13,3,2,1,GSC.ATE.2018,Field Testing Research,Field Design,Engineering,3/9/2018,4,65,260,
25,13,3,2,1,GSC.ATE.2018,Software Development,Site Debug,Engineering,11/16/2018,3,65,195,
26,13,3,2,1,GSC.ATE.2018,Software Development,Office Design,Engineering,11/17/2018,5,65,325,
27,14,3,2,1,GSC.ATE.2018,Field Laptop Update,Field Design,Engineering,3/23/2018,4,65,260,
28,14,3,2,1,GSC.ATE.2018,Data Model Development,Office Design,Engineering,3/27/2018,6,65,390,
29,14,3,2,1,GSC.ATE.2018,On-Site Research,Site Design,Engineering,3/27/2018,2,65,130,
30,15,3,2,1,GSC.ATE.2018,On site Support,Site Debug,Engineering,5/4/2018,6,65,390,
31,15,3,2,1,IPP.OH.2018,On site Support,Site Debug,Engineering,4/27/2018,6,65,390,
41,16,3,3,1,IPP.ATE.2018,Windows 10 Update,Site Design,Engineering,5/10/2019,3,60,180,
42,17,3,1,1,SCS.ATE.2019,Noise Figure Test Development,Office Design,Engineering,5/7/2019,4,65,260,
43,17,3,1,1,SCS.ATE.2019,ATE Debug,Office Debug,Engineering,5/10/2019,6,65,390,
44,17,3,1,1,SCS.ATE.2019,SPA Instrument Library for Noise Figure,Office Debug,Engineering,5/13/2019,4,65,260,
45,17,3,1,1,SCS.ATE.2019,Software Debug,Site Debug,Engineering,5/24/2019,3,65,195,
46,17,3,1,1,SCS.ATE.2019,ATE Debug,Site Debug,Engineering,5/17/2019,6,65,390,
47,18,3,3,1,SCS.ATE.2019,Windows 10 Update,Site Debug,Engineering,5/31/2019,4,60,240,
48,19,3,3,1,IPP.CS.2019,Screen Shot Application,Office Design,Engineering,6/8/2019,15,60,900,
49,19,3,3,1,IPP.CS.2019,Screen shot application debug,Field Debug,Engineering,6/28/2019,3,60,180,
50,20,3,3,1,IPP.CS.2019,Screen Shot Application,Office Design,Engineering,7/20/2019,25,60,1500,
51,20,3,3,1,IPP.CS.2019,Screen Shot Application Debug,Site Debug,Engineering,8/2/2019,4,60,240,
52,21,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/6/2019,4,60,240,
53,21,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/7/2019,4,60,240,
54,21,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/12/2019,5,60,300,
55,21,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Site Debug,Engineering,8/12/2019,2,60,120,
56,21,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/8/2019,0,60,0,
57,22,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/6/2019,4,60,240,
58,23,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/6/2019,4,60,240,
59,23,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/7/2019,4,60,240,
60,23,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/8/2019,5,60,300,
61,24,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/6/2019,4,60,240,
62,24,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/7/2019,4,60,240,
63,24,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/8/2019,5,60,300,
64,25,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/6/2019,4,60,240,
65,25,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/7/2019,4,60,240,
66,25,3,3,1,IPP.CS.2019,8753C Screen Shot debug,Office Debug,Engineering,8/8/2019,5,60,300,
67,25,3,3,1,IPP.CS.2019,On site Screen Shot debug,Site Debug,Engineering,8/9/2019,2,60,120,
68,26,3,3,1,IPP.CS.2019,Screen Capture Instrument Local development,Office Design,Engineering,8/14/2019,4,60,240,
69,26,3,3,1,IPP.CS.2019,Screen shot debug,Site Debug,Engineering,8/20/2019,4,60,240,
70,27,3,3,1,IPP.CS.2019,Screen Capture Instrument Local development,Office Design,Engineering,8/14/2019,4,60,240,
71,27,3,3,1,IPP.CS.2019,Screen shot debug,Site Debug,Engineering,8/16/2019,4,60,240,
74,28,3,3,1,IPP.CS.2019,On Site 8753 Screen Shot,Site Debug,Engineering,8/23/2019,4,60,240,
75,28,3,3,1,IPP.CS.2019,On site ENA Screen Shot,Site Debug,Engineering,8/30/2019,4,60,240,
76,29,3,3,1,IPP.CS.2019,On Site Screen Capture debug,Site Debug,Engineering,10/25/2019,2,60,120,
77,29,3,3,1,IPP.CS.2019,Screen Capture Resize improvement,Office Design,Engineering,10/30/2019,4,60,240,
78,29,3,3,1,IPP.CS.2019,installation file development,Office Design,Engineering,11/4/2019,6,60,360,
79,29,3,3,1,IPP.CS.2019,CADSHOT Installation file dev,Office Design,Engineering,11/5/2019,3,60,180,
80,30,3,3,1,IPP.CS.2019,On Site Screen Capture debug,Site Debug,Engineering,10/25/2019,2,60,120,
81,30,3,3,1,IPP.CS.2019,Screen Capture Resize improvement,Office Design,Engineering,10/30/2019,4,60,240,
82,30,3,3,1,IPP.CS.2019,On Site Screen Capture debug,Site Design,Engineering,11/1/2019,3,60,180,
83,30,3,3,1,IPP.ATE.2019,installation file development,Office Design,Engineering,11/4/2019,6,60,360,
